,#ID_Hannah_thesis,NROH,SROH,Species,Coll_number,Coll_year,DNA_input,Section,Material,Reads_hits,Depth,Date,Country,Region,Province,District,Location,Habitat,Altitude,Herb_nbr,S_deg,S_min,S_sec,E_deg,E_min,E_sec,Latitude,Longitude
68,218,279,947.854,B.Petermannia,ELAE86,2018,94,Petermannia,Silica,3536582,1.98691,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest on limestone ,2123,,,,,,,,-5.252086,142.166896
69,219,459,751.96,B.brassii,ELAE87,2018,109.5,Oligandrae,Silica,184383,0.0964327,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest on limestone ,2205,,,,,,,,-5.252114,142.166663
70,220,1805,4502.61,B.chambersiae,ELAE88,2018,71,Oligandrae,Silica,2390154,1.68458,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest on limestone ,2205,,,,,,,,-5.252114,142.166663
71,221,2165,7301.813,B.kaniensis,ELAE90,2018,49.75,Diploclinium,Silica,2511179,1.34864,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Moss forest,2283,,,,,,,,-5.253111,142.166768
72,222,507,1203.023,B.Petermannia,ELAE93,2018,93,Petermannia,Silica,5191158,3.02769,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest,2062,,,,,,,,-5.215586,142.152147
73,223,202,348.092,B.Petermannia,ELAE94,2018,68,Petermannia,Silica,1892824,0.930433,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest,1796,,,,,,,,-5.228557,142.164267
74,224,3372,19190.067,B.kaniensis,ELAE96,2018,22.65,Diploclinium,Silica,4713704,2.65773,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1550,,,,,,,,-4.904673,141.159506
75,225,1444,2734.915,B.Petermannia,ELAE98,2018,81.5,Petermannia,Silica,1531870,0.782469,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1563,,,,,,,,-4.904353,141.159722
76,227,556,916.426,B.brassii,ELAE103,2018,110.7,Oligandrae,Silica,525911,0.284672,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1707,,,,,,,,-4.918965,141.15988
77,228,2413,5986.315,B.Petermannia,ELAE104b,2018,77.5,Petermannia,Silica,4154615,2.35775,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1671,,,,,,,,-4.924965,141.14235
78,230,603,1062.114,B.Petermannia,ELAE111,2018,110.7,Petermannia,Silica,814838,0.478036,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1882,,,,,,,,-4.933137,141.14314
79,231,36,46.675,B.kaniensis,ELAE114,2018,20.55,Diploclinium,Silica,758,0,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1816,,,,,,,,-4.930433,141.143262
80,232,598,1330.799,B.serratipetala,ELAE115,2018,110.7,Petermannia,Silica,7239484,3.72065,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Busilmin,Montane forest,1641,,,,,,,,-4.911231,141.152274
81,233,1426,2784.266,B.Petermannia,ELAE118,2018,103.5,Petermannia,Silica,2125814,1.05147,2018,,,,,,Cultivation,,,,,,,,,,
82,234,492,813.853,B.Petermannia,ELAE119,2018,20.15,Petermannia,Silica,2675768,1.46363,2018,,,,,,Cultivation,,,,,,,,,,
83,235,1033,1781.018,B.Petermannia,LAE91234,2018,92,Petermannia,Silica,970946,0.475219,2018,,,,,,,,,,,,,,,,
84,236,1743,3497.18,B.fractalifolia,LAE91285,2018,110.7,Petermannia,Silica,2771133,1.37945,2018,PNG,Momase,West Sepik (Sandaun),,Kwima,,139,,4,29,28,141,5,15,-4.49111111111111,141.0875
85,237,1532,2987.26,B.aikrono,LAE91289,2018,88,Petermannia,Silica,1501906,1.00086,2018,PNG,Momase,West Sepik (Sandaun),,Kwima,,167,,4,29,23,141,5,17,-4.48972222222222,141.088055555556
86,238,512,768.221,B.sandaunensis,LAE91157,2018,34.25,Symbegonia,Silica,1109156,0.689152,2018,PNG,Momase,West Sepik (Sandaun),,Yapsiei,,192,,4,37,32,141,5,28,-4.62555555555556,141.091111111111
87,240,2558,5813.029,B.aikrono,LAE91288,2018,52,Petermannia,Silica,6954583,4.0941,2018,PNG,Momase,West Sepik (Sandaun),,Kwima,,167,,4,29,23,141,5,17,-4.48972222222222,141.088055555556
88,241,1397,2743.391,B.Petermannia,LAE91386,2018,63,Petermannia,Silica,1456575,0.781393,2018,PNG,Momase,West Sepik (Sandaun),,Yapsiei,,190,,4,37,29,141,5,20,-4.62472222222222,141.088888888889
89,242,2067,4949.24,B.Petermannia,LAE91158,2018,22.35,Petermannia,Silica,2679972,2.21398,2018,,,,,,,,,,,,,,,,
90,243,2089,5165.331,B.Petermannia,LAE91151,2018,20.4,Petermannia,Silica,2253408,2.0605,2018,,,,,,,,,,,,,,,,
91,244,1130,2133,B.Petermannia,LAE91148,2018,35,Petermannia,Silica,2378540,1.62967,2018,PNG,Momase,West Sepik (Sandaun),,Yapsiei,,178,,4,37,33,141,5,30,-4.62583333333333,141.091666666667
92,245,1943,4684.855,B.Petermannia,LAE91156,2018,32,Petermannia,Silica,1841759,1.36187,2018,,,,,,,,,,,,,,,,
