kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
1026660-2,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,(Jacq.) Parl.,7.8,3.9,7630.3,3815.15,n,Šmarda et al. 2019,2
60445945-2,Pulicaria dysenterica (L.) Bernh.,Pulicaria dysenterica,(L.) Bernh.,1.77,0.88,1726.36,863.18,n,Šmarda et al. 2019,2
240626-1,Pulicaria vulgaris Gaertn.,Pulicaria vulgaris,Gaertn.,1.65,0.83,1617.45,808.73,n,Šmarda et al. 2019,2
120400-1,Pulmonaria obscura Dumort.,Pulmonaria obscura,Dumort.,2.9,1.45,2834,1417,n,Šmarda et al. 2019,2
120402-1,Pulmonaria officinalis L.,Pulmonaria officinalis,L.,2.84,1.42,2772.67,1386.33,n,Šmarda et al. 2019,2
331828-1,Pyrola minor L.,Pyrola minor,L.,7.13,3.56,6970.07,3485.03,n,Šmarda et al. 2019,2
331846-1,Pyrola rotundifolia L.,Pyrola rotundifolia,L.,6.72,3.36,6576.76,3288.38,n,Šmarda et al. 2019,2
30065762-2,Pyrus communis L.,Pyrus communis,L.,1.12,0.56,1096.13,548.06,n,Šmarda et al. 2019,2
77066454-1,Pyrus pyraster (L.) Burgsd.,Pyrus pyraster,(L.) Burgsd.,1.1,0.55,1072.55,536.28,n,Šmarda et al. 2019,2
359961-1,Quercus petraea (Matt.) Liebl.,Quercus petraea,(Matt.) Liebl.,1.67,0.84,1636.06,818.03,n,Šmarda et al. 2019,2
304293-2,Quercus robur L.,Quercus robur,L.,1.59,0.8,1559.6,779.8,n,Šmarda et al. 2019,2
712240-1,Ranunculus arvensis L.,Ranunculus arvensis,L.,12.17,6.09,11906.75,5953.37,n,Šmarda et al. 2019,2
712367-1,Ranunculus bulbosus L.,Ranunculus bulbosus,L.,10.46,5.23,10233.65,5116.83,n,Veselý et al. 2012,2
30013390-2,Ranunculus flammula L.,Ranunculus flammula,L.,11.34,5.67,11089.31,5544.66,n,Šmarda et al. 2019,2
713102-1,Ranunculus lingua L.,Ranunculus lingua,L.,43.67,21.84,42710.29,21355.15,n,Ko?ková 2012,2
713678-1,Ranunculus repens L.,Ranunculus repens,L.,18.08,9.04,17681.31,8840.66,n,Ko?ková 2012,2
713776-1,Ranunculus sceleratus L.,Ranunculus sceleratus,L.,6.07,3.04,5941.16,2970.58,n,Šmarda et al. 2019,2
288550-1,Rapistrum perenne (L.) All.,Rapistrum perenne,(L.) All.,1.36,0.68,1333.3,666.65,n,Šmarda et al. 2019,2
715534-1,Reseda lutea L.,Reseda lutea,L.,1.85,0.93,1809.4,904.7,n,Šmarda et al. 2019,2
715535-1,Reseda luteola L.,Reseda luteola,L.,1.1,0.55,1073.43,536.71,n,Šmarda et al. 2019,2
435655-1,Reynoutria japonica Houtt.,Reynoutria japonica,Houtt.,8.26,4.13,8078.58,4039.29,n,Šmarda et al. 2019,2
696697-1,Reynoutria sachalinensis (F. Schmidt) Nakai,Reynoutria sachalinensis,(F.Schmidt) Nakai,3.88,1.94,3798.82,1899.41,n,Šmarda et al. 2019,2
718256-1,Rhamnus cathartica L.,Rhamnus cathartica,L.,0.89,0.44,866.01,433.01,n,Šmarda et al. 2019,2
30116962-2,Rhinanthus minor L.,Rhinanthus minor,L.,2.39,1.19,2335.11,1167.56,n,Šmarda et al. 2019,2
315148-2,Rhodiola rosea L.,Rhodiola rosea,L.,2.6,1.3,2541.9,1270.95,n,Šmarda et al. 2019,2
1070770-2,Rhynchospora alba (L.) Vahl,Rhynchospora alba,(L.) Vahl,0.49,0.24,478.62,239.31,n,Šmarda et al. 2019,2
792549-1,Ribes alpinum L.,Ribes alpinum,L.,1.87,0.93,1827.06,913.53,n,Šmarda et al. 2019,2
792873-1,Ribes nigrum L.,Ribes nigrum,L.,1.83,0.92,1790.16,895.08,n,Šmarda et al. 2019,2
792965-1,Ribes rubrum L.,Ribes rubrum,L.,1.7,0.85,1663.33,831.67,n,Šmarda et al. 2019,2
793052-1,Ribes uva-crispa L.,Ribes uva-crispa,L.,1.67,0.83,1629.51,814.76,n,Šmarda et al. 2019,2
30034699-2,Robinia pseudoacacia L.,Robinia pseudoacacia,L.,1.32,0.66,1295.06,647.53,n,Šmarda et al. 2019,2
